,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.9067,0.2449,0.9067,0.8459,0.4063,0.8459,0.9399,0.1744,0.9399,0.8505,0.4234,0.8505,0.5,0.5154,0.5143,0.5077,0.4984,0.5131,0.5347,0.35,123454321,82.9685,0.1902,121.6766,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,314,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.895,0.2744,0.895,0.8572,0.3719,0.8572,0.9315,0.187,0.9315,0.8572,0.3776,0.8572,0.5,0.5103,0.5101,0.5098,0.4955,0.5073,0.524,0.23,246908642,60.5664,0.204,94.6365,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,225,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.906,0.2523,0.906,0.8573,0.3853,0.8573,0.9407,0.1767,0.9407,0.8543,0.4243,0.8543,0.5,0.5111,0.5116,0.4954,0.4975,0.513,0.5287,0.27,370362963,61.8055,0.1899,111.3467,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,280,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.9082,0.258,0.9082,0.8405,0.4395,0.8405,0.9378,0.1707,0.9378,0.8517,0.4167,0.8517,0.5,0.5155,0.5166,0.4955,0.4958,0.515,0.5373,0.42,493817284,19.4709,0.1898,117.7269,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,301,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.9091,0.241,0.9091,0.8511,0.4091,0.8511,0.9442,0.1657,0.9442,0.85,0.4165,0.85,0.5,0.5186,0.5206,0.5041,0.4986,0.5146,0.5338,0.22,617271605,12.8054,0.1897,107.7008,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,268,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.9023,0.2516,0.9023,0.8535,0.3838,0.8535,0.9163,0.2212,0.9163,0.8609,0.3639,0.8609,0.5,0.5095,0.5114,0.5048,0.5023,0.5032,0.528,0.27,740725926,48.9581,0.1959,93.725,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,222,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.9111,0.2385,0.9111,0.8496,0.3992,0.8496,0.9439,0.1615,0.9439,0.844,0.4416,0.844,0.5,0.5144,0.5137,0.5037,0.5052,0.5169,0.5357,0.32,864180247,22.2645,0.1939,107.0932,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,266,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.9123,0.238,0.9123,0.8509,0.4047,0.8509,0.9363,0.1781,0.9363,0.8441,0.4211,0.8441,0.5,0.5179,0.5193,0.4997,0.4969,0.5202,0.5368,0.2,987634568,15.477,0.1929,109.2199,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,273,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.9198,0.233,0.9198,0.8497,0.4065,0.8497,0.9411,0.1663,0.9411,0.8445,0.4407,0.8445,0.5,0.5123,0.5122,0.5019,0.4886,0.5148,0.54,0.31,1111088889,18.0691,0.1956,115.6002,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,294,301,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.9109,0.2509,0.9109,0.8432,0.4042,0.8432,0.9399,0.1695,0.9399,0.8447,0.4348,0.8447,0.5,0.5167,0.5173,0.5044,0.4926,0.5156,0.5386,0.3,1234543210,42.7705,0.2062,130.4734,0.0,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,345,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,github,0.901,0.2621,0.901,0.8513,0.3747,0.8513,0.94,0.1744,0.94,0.8504,0.4234,0.8504,0.5,0.5179,0.5137,0.4954,0.4952,0.5127,0.5289,0.28,123454321,6.2139,0.1492,70.0706,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,283,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,github,0.8958,0.2688,0.8958,0.8566,0.3805,0.8566,0.931,0.187,0.931,0.8573,0.3776,0.8573,0.5,0.5098,0.51,0.4999,0.4962,0.5083,0.5257,0.22,246908642,5.1733,0.1467,78.712,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,335,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,github,0.9023,0.263,0.9023,0.856,0.3718,0.856,0.9408,0.1767,0.9408,0.8538,0.4242,0.8538,0.5,0.5097,0.5127,0.4949,0.4977,0.5052,0.5246,0.42,370362963,5.1128,0.1467,71.6379,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,292,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,github,0.9047,0.2702,0.9047,0.8456,0.4013,0.8456,0.938,0.1707,0.938,0.8516,0.4164,0.8516,0.5,0.5098,0.5139,0.4988,0.497,0.5124,0.5315,0.36,493817284,4.377,0.1479,71.1155,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,289,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,github,0.9033,0.2555,0.9033,0.8527,0.3887,0.8527,0.9445,0.1657,0.9445,0.8493,0.4161,0.8493,0.5,0.5176,0.5171,0.4971,0.4986,0.5174,0.5292,0.28,617271605,4.1512,0.15,67.6326,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,269,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
